level1	 level2 	KOGid
Coenzyme transport and metabolism	Thiamine pyrophosphate-requiring enzyme	[KOG1184]
Amino acid transport and metabolism	Thiamine pyrophosphate-requiring enzyme	[KOG1185]
Coenzyme transport and metabolism	Thiamine pyrophosphate-requiring enzyme	[KOG1185]
Secondary metabolites biosynthesis, transport and catabolism	Copper amine oxidase	[KOG1186]
Signal transduction mechanisms	Serine/threonine protein kinase	[KOG1187]
Lipid transport and metabolism	Acyl-CoA synthetase	[KOG1180]
Function unknown	FOG: Low-complexity	[KOG1181]
Transcription	Transcription factor CA150	[KOG0155]
Cell wall/membrane/envelope biogenesis	N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis	[KOG1183]
Posttranslational modification, protein turnover, chaperones	N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis	[KOG1183]
General function prediction only	DNA-binding protein	[KOG4329]
General function prediction only	WD40 repeat protein	[KOG1188]
Amino acid transport and metabolism	Global transcriptional regulator, cell division control protein	[KOG1189]
Transcription	Selective LIM binding factor	[KOG3616]
Function unknown	WD40 protein	[KOG4328]
Cell wall/membrane/envelope biogenesis	GPI transamidase complex, GPI17/PIG-S component, involved in glycosylphosphatidylinositol anchor biosynthesis	[KOG2459]
Posttranslational modification, protein turnover, chaperones	GPI transamidase complex, GPI17/PIG-S component, involved in glycosylphosphatidylinositol anchor biosynthesis	[KOG2459]
General function prediction only	Glutathione S-transferase-related protein	[KOG3029]
Signal transduction mechanisms	Semaphorins	[KOG3611]
Intracellular trafficking, secretion, and vesicular transport	Translocase of outer mitochondrial membrane complex, subunit TOM37/Metaxin 1	[KOG3028]
Carbohydrate transport and metabolism	Purple acid phosphatase	[KOG1378]
Posttranslational modification, protein turnover, chaperones	Beta-1,4-mannosyltransferase	[KOG2941]
Posttranslational modification, protein turnover, chaperones	E3 ubiquitin-protein ligase (Parkin protein)	[KOG0006]
Function unknown	Uncharacterized conserved protein	[KOG3783]
General function prediction only	Erythrocyte membrane protein 4.1 and related proteins of the ERM family	[KOG3527]
RNA processing and modification	TPR repeat-containing protein	[KOG1127]
RNA processing and modification	Queuine-tRNA ribosyltransferase	[KOG3909]
General function prediction only	Predicted methyltransferase	[KOG2940]
Replication, recombination and repair	Origin recognition complex, subunit 6	[KOG4557]
General function prediction only	Glucose dehydrogenase/choline dehydrogenase/mandelonitrile lyase (GMC oxidoreductase family)	[KOG1238]
Posttranslational modification, protein turnover, chaperones	Inner membrane protein translocase involved in respiratory chain assembly	[KOG1239]
Intracellular trafficking, secretion, and vesicular transport	Inner membrane protein translocase involved in respiratory chain assembly	[KOG1239]
General function prediction only	Predicted unusual protein kinase	[KOG1236]
Amino acid transport and metabolism	H+/oligopeptide symporter	[KOG1237]
Signal transduction mechanisms	Predicted guanine nucleotide exchange factor	[KOG3520]
General function prediction only	Predicted unusual protein kinase	[KOG1235]
Energy production and conversion	Proteins containing the FAD binding domain	[KOG1232]
General function prediction only	Alkyl-dihydroxyacetonephosphate synthase	[KOG1233]
General function prediction only	Protein containing repeated kelch motifs	[KOG1230]
Energy production and conversion	Proteins containing the FAD binding domain	[KOG1231]
General function prediction only	Predicted alpha/beta hydrolase BEM46	[KOG4391]
General function prediction only	Acetyltransferases	[KOG3397]
General function prediction only	Predicted glycosyltransferase	[KOG3349]
Transcription	Vitamin-D-receptor interacting protein complex component	[KOG4552]
Signal transduction mechanisms	Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP)	[KOG0618]
Lipid transport and metabolism	N-acetylglucosaminyltransferase complex, subunit PIG-C/GPI2, required for phosphatidylinositol biosynthesis	[KOG3059]
RNA processing and modification	Spliceosomal protein FBP21	[KOG0150]
General function prediction only	Tryptophan-rich basic nuclear protein	[KOG4253]
Function unknown	Uncharacterized conserved glycine-rich protein	[KOG3973]
Function unknown	Predicted membrane protein	[KOG3140]
Signal transduction mechanisms	Serine/threonine protein kinase	[KOG0201]
Signal transduction mechanisms	Predicted guanine nucleotide exchange factor	[KOG3521]
Inorganic ion transport and metabolism	Ca2+ transporting ATPase	[KOG0202]
General function prediction only	Predicted signaling-associated protein (contains a PDZ domain)	[KOG1421]
Inorganic ion transport and metabolism	Na+/K+ ATPase, alpha subunit	[KOG0203]
Cytoskeleton	Projectin/twitchin and related proteins	[KOG0613]
Inorganic ion transport and metabolism	Fe2+/Zn2+ regulated transporter	[KOG1558]
Cell cycle control, cell division, chromosome partitioning	Ubiquitin-like protein	[KOG0005]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-like protein	[KOG0005]
Function unknown	Uncharacterized conserved protein	[KOG2942]
Inorganic ion transport and metabolism	Plasma membrane H+-transporting ATPase	[KOG0205]
Function unknown	Uncharacterized conserved protein	[KOG4255]
Signal transduction mechanisms	Predicted guanine nucleotide exchange factor	[KOG3522]
Inorganic ion transport and metabolism	Cation transport ATPase	[KOG0207]
Secondary metabolites biosynthesis, transport and catabolism	O-methyltransferase	[KOG1663]
Cell cycle control, cell division, chromosome partitioning	Mitotic checkpoint serine/threonine protein kinase	[KOG1166]
Secondary metabolites biosynthesis, transport and catabolism	Beta, beta-carotene 15,15'-dioxygenase and related enzymes	[KOG1285]
Cell wall/membrane/envelope biogenesis	Ankyrin	[KOG4177]
Lipid transport and metabolism	Steroid reductase	[KOG1638]
Translation, ribosomal structure and biogenesis	Translation initiation factor 2B, delta subunit (eIF-2Bdelta/GCD2)	[KOG1467]
General function prediction only	WD40 repeat-containing protein	[KOG2247]
Carbohydrate transport and metabolism	Fucosyltransferase	[KOG2619]
Amino acid transport and metabolism	Fucosyltransferase	[KOG2619]
Function unknown	Uncharacterized conserved protein	[KOG2618]
General function prediction only	PHD finger protein	[KOG0954]
Function unknown	Neurochondrin/leucine-rich protein (Neurochondrin)	[KOG2611]
Function unknown	Uncharacterized conserved protein	[KOG2610]
General function prediction only	Predicted RNA-binding protein (RRM superfamily)	[KOG0153]
Function unknown	Predicted integral membrane protein	[KOG2612]
General function prediction only	Permease of the major facilitator superfamily	[KOG2615]
Energy production and conversion	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases	[KOG2614]
General function prediction only	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases	[KOG2614]
Energy production and conversion	Citrate synthase	[KOG2617]
Amino acid transport and metabolism	Pyridoxalphosphate-dependent enzyme/predicted threonine synthase	[KOG2616]
Cytoskeleton	Actin-related protein - Arp4p/Act3p	[KOG0679]
Transcription	Transcription initiation factor IIA, gamma subunit	[KOG3463]
RNA processing and modification	ATP-dependent RNA helicase	[KOG0339]
Replication, recombination and repair	Ribonuclease HI	[KOG2299]
Translation, ribosomal structure and biogenesis	Glycyl-tRNA synthetase and related class II tRNA synthetase	[KOG2298]
General function prediction only	C2H2 Zn-finger protein	[KOG2295]
Transcription	Transcription factor of the Forkhead/HNF3 family	[KOG2294]
Translation, ribosomal structure and biogenesis	Predicted translation factor, contains W2 domain	[KOG2297]
General function prediction only	Integral membrane protein	[KOG2296]
Posttranslational modification, protein turnover, chaperones	Oligosaccharyltransferase, alpha subunit (ribophorin I)	[KOG2291]
Signal transduction mechanisms	Rhomboid family proteins	[KOG2290]
Transcription	Daxx-interacting protein MSP58/p78, contains FHA domain	[KOG2293]
Signal transduction mechanisms	Daxx-interacting protein MSP58/p78, contains FHA domain	[KOG2293]
Posttranslational modification, protein turnover, chaperones	Oligosaccharyltransferase, STT3 subunit	[KOG2292]
Transcription	Transcription regulator dachshund, contains SKI/SNO domain	[KOG3915]
Carbohydrate transport and metabolism	Dimeric dihydrodiol dehydrogenase	[KOG2741]
Secondary metabolites biosynthesis, transport and catabolism	Dimeric dihydrodiol dehydrogenase	[KOG2741]
Translation, ribosomal structure and biogenesis	Seryl-tRNA synthetase	[KOG2509]
Lipid transport and metabolism	Predicted phospholipase	[KOG2508]
Signal transduction mechanisms	Ras GTPase-activating protein	[KOG2059]
Intracellular trafficking, secretion, and vesicular transport	Ypt/Rab GTPase activating protein	[KOG2058]
Nucleotide transport and metabolism	Predicted equilibrative nucleoside transporter protein	[KOG2057]
Nucleotide transport and metabolism	Equilibrative nucleoside transporter protein	[KOG2056]
General function prediction only	WD40 repeat protein	[KOG2055]
Function unknown	Nucleolar RNA-associated protein (NRAP)	[KOG2054]
General function prediction only	Thioredoxin, nucleoredoxin and related proteins	[KOG2501]
Chromatin structure and dynamics	Histone deacetylase complex, MTA1 component	[KOG3554]
RNA processing and modification	Nonsense-mediated mRNA decay 2 protein	[KOG2051]
Translation, ribosomal structure and biogenesis	Puf family RNA-binding protein	[KOG2050]
Cell cycle control, cell division, chromosome partitioning	S-M checkpoint control protein CID1 and related nucleotidyltransferases	[KOG2277]
Amino acid transport and metabolism	Metalloexopeptidases	[KOG2276]
RNA processing and modification	Queuine-tRNA ribosyltransferase	[KOG3908]
Function unknown	Uncharacterized conserved protein	[KOG2443]
Extracellular structures	SARM protein (with sterile alpha and armadillo motifs)	[KOG3678]
General function prediction only	Predicted coiled-coil protein	[KOG3679]
Nuclear structure	Nuclear pore complex component (sc Nup85)	[KOG2271]
Intracellular trafficking, secretion, and vesicular transport	Nuclear pore complex component (sc Nup85)	[KOG2271]
Signal transduction mechanisms	Serine/threonine protein kinase involved in cell cycle control	[KOG2270]
Cell cycle control, cell division, chromosome partitioning	Serine/threonine protein kinase involved in cell cycle control	[KOG2270]
RNA processing and modification	FtsJ-like RNA methyltransferase	[KOG3674]
RNA processing and modification	Nucleolar protein NOP52/RRP1	[KOG3911]
Inorganic ion transport and metabolism	Ca2+-permeable cation channel OSM-9 and related channels (OTRPC family)	[KOG3676]
Signal transduction mechanisms	Ca2+-permeable cation channel OSM-9 and related channels (OTRPC family)	[KOG3676]
Translation, ribosomal structure and biogenesis	RNA polymerase I-associated factor - PAF67	[KOG3677]
Transcription	RNA polymerase I-associated factor - PAF67	[KOG3677]
Amino acid transport and metabolism	Tryptophan 2,3-dioxygenase	[KOG3906]
Intracellular trafficking, secretion, and vesicular transport	ZIP-like zinc transporter proteins	[KOG3907]
Signal transduction mechanisms	Kinase anchor protein AKAP149, contains KH and Tudor RNA-binding domains	[KOG2279]
RNA processing and modification	FtsJ-like RNA methyltransferase	[KOG3673]
Nuclear structure	Nuclear pore complex, rNpl4 component (sc Npl4)	[KOG2834]
Intracellular trafficking, secretion, and vesicular transport	Nuclear pore complex, rNpl4 component (sc Npl4)	[KOG2834]
Intracellular trafficking, secretion, and vesicular transport	Clathrin-associated protein medium chain	[KOG2740]
Transcription	Nuclear receptor coregulator SMRT/SMRTER, contains Myb-like domains	[KOG1878]
Function unknown	Conserved WD40 repeat-containing protein AN11	[KOG0290]
Signal transduction mechanisms	Wnt family of developmental regulators	[KOG3913]
Transcription	Dosage compensation complex, subunit MLE	[KOG0921]
General function prediction only	Predicted integral membrane protein	[KOG3912]
Function unknown	Angio-associated migratory cell protein (contains WD40 repeats)	[KOG0296]
Function unknown	Uncharacterized conserved protein	[KOG3270]
Translation, ribosomal structure and biogenesis	Translation initiation factor 5A (eIF-5A)	[KOG3271]
General function prediction only	Predicted coiled-coil protein	[KOG3272]
Posttranslational modification, protein turnover, chaperones	Predicted RNA-binding protein Pno1p interacting with Nob1p and involved in 26S proteasome assembly	[KOG3273]
